epoch,batch,loss,duration
11, 33, 0.441043, 32.782399
11, 34, 0.432428, 24.472027
11, 35, 0.463400, 48.551636
11, 36, 0.456395, 36.102622
11, 37, 0.436168, 25.067740
11, 38, 0.443102, 31.567208
11, 39, 0.432402, 24.228263
11, 40, 0.425245, 18.756827
11, 41, 0.422046, 21.697082
11, 42, 0.451642, 36.446617
11, 43, 0.451418, 34.456966
11, 44, 0.431308, 24.397879
11, 45, 0.400780, 19.759907
11, 46, 0.425668, 19.599633
11, 47, 0.427356, 26.849397
11, 48, 0.432241, 24.414674
11, 49, 0.417766, 20.161797
11, 50, 0.428378, 25.970285
12, 1, 0.436847, 28.214648
12, 2, 0.414762, 21.213089
12, 3, 0.426538, 27.032034
12, 4, 0.427571, 24.898367
12, 5, 0.445038, 27.500878
12, 6, 0.457645, 34.800332
12, 7, 0.448347, 32.096512
12, 8, 0.430941, 24.986272
12, 9, 0.437556, 45.101638
12, 10, 0.453434, 36.052160
12, 11, 0.431997, 20.303597
12, 12, 0.404780, 19.026808
12, 13, 0.432555, 26.841015
12, 14, 0.450648, 35.949957
12, 15, 0.426690, 23.085011
12, 16, 0.426836, 26.079588
12, 17, 0.401707, 20.022159
12, 18, 0.456910, 42.603017
12, 19, 0.450637, 42.454725
12, 20, 0.461499, 47.765367
12, 21, 0.448298, 25.929796
12, 22, 0.429843, 29.113499
12, 23, 0.443640, 34.342636
12, 24, 0.447764, 40.028594
12, 25, 0.444001, 28.015596
12, 26, 0.453290, 40.192213
12, 27, 0.441408, 30.392984
12, 28, 0.421435, 25.207491
12, 29, 0.414386, 22.484554
12, 30, 0.429239, 20.447165
12, 31, 0.447285, 35.090346
12, 32, 0.426264, 23.707635
12, 33, 0.399832, 18.620765
12, 34, 0.417415, 21.578340
12, 35, 0.378004, 13.797331
12, 36, 0.459139, 37.546149
12, 37, 0.446828, 42.800061
12, 38, 0.457686, 44.700022
12, 39, 0.441714, 32.545885
12, 40, 0.415670, 19.588990
12, 41, 0.427094, 26.723712
12, 42, 0.430507, 23.678950
12, 43, 0.443976, 34.440150
12, 44, 0.452512, 38.263906
12, 45, 0.443299, 29.091235
12, 46, 0.401825, 20.291981
12, 47, 0.418650, 22.369449
12, 48, 0.437701, 29.078550
12, 49, 0.430609, 24.543605
12, 50, 0.423994, 18.663871
13, 1, 0.455042, 37.960343
13, 2, 0.402671, 22.335380
13, 3, 0.433139, 26.589202
13, 4, 0.450634, 43.571176
13, 5, 0.435296, 61.524053
13, 6, 0.442138, 39.467582
13, 7, 0.453772, 39.604382
13, 8, 0.453096, 50.108330
13, 9, 0.429224, 29.828148
13, 10, 0.424750, 26.730035
13, 11, 0.403240, 22.724434
13, 12, 0.459752, 64.934368
13, 13, 0.431751, 30.730222
13, 14, 0.405126, 24.960518
13, 15, 0.433756, 36.515415
13, 16, 0.452111, 54.197666
13, 17, 0.448526, 49.301679
13, 18, 0.421734, 24.744102
13, 19, 0.384015, 17.723315
13, 20, 0.451016, 50.193290
13, 21, 0.440521, 42.507308
13, 22, 0.445873, 57.081474
13, 23, 0.421252, 30.504896
13, 24, 0.441369, 32.863749
13, 25, 0.429930, 29.137604
13, 26, 0.434593, 27.126487
13, 27, 0.444998, 35.480946
13, 28, 0.447879, 41.183015
13, 29, 0.449601, 24.217952
13, 30, 0.438613, 23.357977
13, 31, 0.476779, 40.156473
13, 32, 0.455916, 23.316130
13, 33, 0.439395, 19.650822
13, 34, 0.446063, 29.499816
13, 35, 0.447759, 20.494516
13, 36, 0.457605, 22.148329
13, 37, 0.449202, 19.089439
13, 38, 0.477447, 30.017339
13, 39, 0.468539, 25.417746
13, 40, 0.466873, 26.919519
13, 41, 0.465888, 33.639620
13, 42, 0.483981, 31.758921
13, 43, 0.429758, 18.392753
13, 44, 0.482787, 47.838936
13, 45, 0.470190, 30.341422
13, 46, 0.451269, 21.217649
13, 47, 0.469421, 37.294043
13, 48, 0.462067, 27.094169
13, 49, 0.461706, 31.864711
13, 50, 0.439216, 21.071867
14, 1, 0.454740, 24.239978
14, 2, 0.463331, 37.278612
14, 3, 0.462627, 37.866667
14, 4, 0.453781, 31.597265
14, 5, 0.433717, 20.058780
14, 6, 0.469589, 44.393520
14, 7, 0.444707, 23.004378
14, 8, 0.462722, 35.520802
14, 9, 0.416629, 20.489609
14, 10, 0.414736, 18.592223
14, 11, 0.423933, 21.607505
14, 12, 0.411284, 20.631105
14, 13, 0.457567, 41.481727
14, 14, 0.437577, 19.876500
14, 15, 0.432856, 26.059516
14, 16, 0.467126, 46.711939
14, 17, 0.452688, 33.631302
14, 18, 0.452360, 41.870921
14, 19, 0.452972, 35.902925
14, 20, 0.433212, 22.197898
14, 21, 0.448575, 25.810417
14, 22, 0.445098, 38.005902
14, 23, 0.406243, 18.709096
14, 24, 0.432120, 28.950511
14, 25, 0.428872, 26.652130
14, 26, 0.429267, 27.376252
14, 27, 0.448382, 26.957130
14, 28, 0.431018, 22.019584
14, 29, 0.452123, 40.959152
14, 30, 0.428729, 19.376109
14, 31, 0.434371, 26.263747
14, 32, 0.432092, 25.465573
14, 33, 0.422128, 25.409376
14, 34, 0.448995, 36.744054
14, 35, 0.428350, 30.831479
14, 36, 0.445342, 33.325742
14, 37, 0.431047, 21.438836
14, 38, 0.452001, 36.354145
14, 39, 0.436748, 30.181530
14, 40, 0.452758, 36.761271
14, 41, 0.416195, 20.719441
14, 42, 0.437777, 29.275410
14, 43, 0.444292, 28.329908
14, 44, 0.421025, 22.276348
14, 45, 0.436971, 26.903480
14, 46, 0.442926, 30.583544
14, 47, 0.418771, 19.053566
14, 48, 0.440602, 29.380870
14, 49, 0.381336, 13.289387
14, 50, 0.459116, 36.767087
15, 1, 0.445542, 40.574411
15, 2, 0.444299, 39.991461
15, 3, 0.416926, 21.207793
15, 4, 0.447384, 37.417523
15, 5, 0.414905, 22.721035
15, 6, 0.420133, 24.417632
15, 7, 0.418586, 25.924951
15, 8, 0.424616, 28.858049
15, 9, 0.418433, 19.822301
15, 10, 0.443063, 30.575850
15, 11, 0.426288, 24.933434
15, 12, 0.401837, 19.630346
15, 13, 0.428331, 26.676756
15, 14, 0.445093, 44.850575
15, 15, 0.427223, 26.156020
15, 16, 0.454714, 57.116586
15, 17, 0.446301, 51.601171
15, 18, 0.446185, 65.607227
15, 19, 0.450151, 54.138730
15, 20, 0.430713, 28.915262
15, 21, 0.457721, 75.365317
15, 22, 0.425815, 49.923056
15, 23, 0.429781, 40.966020
15, 24, 0.443942, 54.627022
15, 25, 0.426441, 32.330116
15, 26, 0.454267, 68.111513
15, 27, 0.440229, 47.079445
15, 28, 0.437145, 40.645323
15, 29, 0.435119, 36.877152
15, 30, 0.449621, 48.587341
15, 31, 0.441067, 42.293532
15, 32, 0.399453, 32.028132
15, 33, 0.381403, 20.001410
15, 34, 0.438863, 43.526145
15, 35, 0.447561, 54.446722
15, 36, 0.432817, 41.904969
15, 37, 0.443143, 40.691872
15, 38, 0.421924, 25.213731
15, 39, 0.422189, 41.103559
15, 40, 0.398530, 28.558249
15, 41, 0.400120, 27.930808
15, 42, 0.428771, 38.270375
15, 43, 0.428105, 36.159936
15, 44, 0.422904, 36.427935
15, 45, 0.412682, 29.341152
15, 46, 0.422445, 36.875797
15, 47, 0.454756, 49.976111
15, 48, 0.449940, 64.152568
15, 49, 0.438432, 58.828909
15, 50, 0.442317, 50.900180
16, 1, 0.420880, 43.274173
16, 2, 0.411590, 30.735834
16, 3, 0.395823, 33.755130
16, 4, 0.425806, 43.095342
16, 5, 0.421134, 26.932165
16, 6, 0.416954, 33.161758
16, 7, 0.438800, 45.322347
16, 8, 0.441542, 49.995715
16, 9, 0.426654, 49.939220
16, 10, 0.423826, 43.563931
16, 11, 0.409873, 34.170317
16, 12, 0.412337, 35.238263
16, 13, 0.423178, 38.796070
16, 14, 0.426075, 30.615553
16, 15, 0.377627, 15.721112
16, 16, 0.432472, 32.323555
16, 17, 0.394549, 18.720861
16, 18, 0.443827, 33.461835
16, 19, 0.437412, 33.812208
16, 20, 0.430380, 26.640837
16, 21, 0.457390, 43.154186
16, 22, 0.441474, 41.384409
16, 23, 0.420591, 26.391604
16, 24, 0.439346, 31.940703
16, 25, 0.449130, 26.837065
16, 26, 0.444352, 29.634589
16, 27, 0.461508, 37.300524
16, 28, 0.447703, 49.859354
16, 29, 0.439882, 57.147247
16, 30, 0.448082, 103.924356
16, 31, 0.425276, 61.821772
16, 32, 0.440847, 57.564558
16, 33, 0.443426, 54.286003
16, 34, 0.430438, 36.349209
16, 35, 0.433932, 34.990361
16, 36, 0.439326, 33.507366
16, 37, 0.400396, 25.190222
16, 38, 0.421124, 28.165328
16, 39, 0.429789, 33.031385
16, 40, 0.447588, 52.592897
16, 41, 0.440386, 44.124137
16, 42, 0.414725, 31.801414
16, 43, 0.457765, 52.109888
16, 44, 0.425380, 28.383747
16, 45, 0.421967, 37.988428
16, 46, 0.442513, 43.393081
16, 47, 0.401052, 23.758513
16, 48, 0.443607, 44.848383
16, 49, 0.458784, 59.923515
16, 50, 0.459084, 59.657385
17, 1, 0.438927, 48.065889
17, 2, 0.399203, 21.839544
17, 3, 0.423392, 29.049981
17, 4, 0.393581, 23.165573
17, 5, 0.425445, 32.294954
17, 6, 0.426160, 27.418647
17, 7, 0.424611, 27.132740
17, 8, 0.445392, 43.913151
17, 9, 0.457514, 54.566581
17, 10, 0.394394, 22.645231
17, 11, 0.417902, 19.424248
17, 12, 0.445231, 29.007475
17, 13, 0.410347, 19.884094
17, 14, 0.449485, 41.806689
17, 15, 0.412104, 22.163296
17, 16, 0.416795, 35.325723
17, 17, 0.436339, 33.858207
17, 18, 0.438812, 48.551753
17, 19, 0.421723, 79.071142
17, 20, 0.444348, 63.533223
17, 21, 0.441859, 67.745676
